TBKTOnline,TBKTTuluan,Nghi,Online,TX1,TX2,GK,Actual
5.66,8.2,5,2.5,10,6,7.5,1
5.65,5.1,5,1.8,6,6,8,1
5.63,7.9,1,2.6,8,5,8,1
5.63,7.4,11,2.9,7.5,5.5,6,1
5.63,5.8,4,2.1,5.5,6,7,1
5.62,9.6,1,2.3,9.5,4,7.5,1
5.6,7.3,4,2.5,8,5.5,8,1
5.59,8.5,10,2,2.5,6,8,0
5.58,8.4,10,1.7,8,5.5,9,1
5.58,6.9,9,1.4,7.5,6.5,6,1
5.56,9.3,2,1,9,5.5,6,1
5.54,4.8,2,0.4,5.5,6,5.5,0
5.53,8.8,4,1.5,8,6,7,1
5.5,9.3,0,2.7,8.5,5,6.5,1
5.49,7.8,10,2.9,7.5,6,7.5,1
5.48,5.8,8,1.1,6.5,6,6,0
5.46,7.9,11,1.2,7.5,5.5,6.5,1
5.45,7.3,6,2.7,8,4.5,6,0
5.45,6.8,1,2.5,7.5,6,7,1
5.42,8.2,8,1.1,7.5,6,8.5,1
5.41,8.2,11,1.8,8.5,4.5,7,1
5.39,6.8,1,2.7,6,4.5,7.5,1
5.32,9.9,8,3,9,6,5.5,1
5.24,6.9,0,2.9,7,6,6,1
5.24,5.6,10,1.6,6,6,8.5,1
5.23,8.9,10,2,9.5,4.5,8.5,1
5.2,6.4,2,2.2,4,4,9,1
5.19,8.5,1,3,9,5.5,6.5,1
5.19,6.2,2,1.8,7,6,6,1
5.17,7.8,3,2.7,7.5,6,8,1
5.14,8.5,3,2.3,7.5,6,5.5,0
5.14,6,2,2.7,6,6,7,1
5.12,7.7,9,2.9,8,6,7,1
5.1,6.4,5,2.1,6.5,6,6,0
5.09,9.6,7,2.4,9,5,7,1
5.08,4.9,12,1.4,4.5,5.5,7.5,0
5.07,9.3,11,3.1,8.5,4.5,6.5,1
5.05,7.4,6,1.8,7.5,6,7.5,1
5.05,6.1,10,2.5,7,6,9,1
4.89,4.3,4,0.2,5.5,6.5,2.5,0
4.88,4.1,0,0.9,6,7,4,0
4.88,1.9,2,0.8,2,2,1,0
4.87,4.5,7,0.2,8,6,5,0
4.87,1.6,6,0.5,5,7.5,4,0
4.84,2.4,8,0.2,0,0,0,0
4.83,4.6,6,0.5,4.5,3,3,0
4.83,2.9,10,0.5,6.5,6,3.5,0
4.82,3.5,3,0.6,7.5,5,4,0
4.82,2.3,9,0.7,2,4,1,0
4.81,1.9,6,0.9,3.5,5.5,4,0
4.8,4.5,3,0.5,3.5,6,6,0
4.8,2.3,4,0.3,7,6,5,0
4.8,1.5,6,0.6,5,3.5,1,0
4.79,2.6,11,0.7,6,6.5,5,0
4.79,2,3,0.3,7.5,7,4.5,0
4.78,4.6,4,0.7,7,5,3.5,0
4.78,2.1,0,1,6.5,5.5,4,0
4.78,1.5,3,0.4,8.5,6,4.5,0
4.77,4.9,7,0.4,7,6.5,4.5,0
4.76,4.4,9,0.4,3,5.5,5,0
4.75,2.5,0,0.8,5.5,6,4,0
4.75,1.7,1,0.4,4,7,4.5,0
4.75,1.6,0,0.3,4.5,6,4,0
4.74,2.5,12,0.1,7,8,3,0
4.73,4.2,2,0.9,5.5,6,5.5,0
4.73,4,10,0.5,6,4,4,0
4.72,4.1,8,0.2,7,4.5,3,0
4.72,1.2,10,0.6,7,6.5,4,0
4.71,4.4,4,0.2,6,5,4.5,0
4.71,3.9,0,0.8,6,6.5,4,0
4.69,4.4,3,1.8,3.5,5,8,0
4.68,2.4,7,0.6,7,7,4,0
4.67,4.2,4,0.9,5,6.5,4,0
4.67,3.5,4,0.8,6,5,2.5,0
4.66,2.6,10,0.8,0,0,0,0
4.64,4.2,11,0.4,7,7,4.5,0
4.64,3.2,6,0.6,3,4,3,0
4.62,3.6,2,0.8,6.5,5.5,5,0
4.62,3.5,0,0.7,6,8,3,0
4.62,2.6,2,0.8,3,6,5.5,0
4.62,2.5,0,0.4,5.5,6,3.5,0
4.61,3.8,10,0.1,7,5.5,4.5,0
4.61,1.6,4,0.2,4.5,6.5,6,0
4.6,4.6,4,0.3,0,7,6,0
4.59,4.4,3,0.8,6.5,6,5,0
4.59,4,6,0.2,8,6,4.5,0
4.58,2.9,6,0.2,5,7,3.5,0
4.58,2.5,3,0.5,4.5,5,2.5,0
4.57,3.5,1,0.8,3.5,4,3.5,0
4.57,2.9,8,0.4,4,6,4,0
4.56,3.2,2,0.6,6.5,5.5,5,0
4.54,4.3,6,0.6,7,6,3.5,0
4.54,1.8,4,0.8,5.5,5,5.5,0
4.53,1.4,2,0.4,5,6.5,2.5,0
4.51,2.8,1,0.6,5,6.5,4.5,0
4.49,2,10,0.5,6,5.5,4.5,0
4.48,4.4,0,0.3,5,6,2.5,0
4.48,3.8,1,1,1,0,0,0
4.46,3.7,10,0.7,8,3.5,4.5,0
4.46,3.6,2,0.2,3,5,4,0
4.45,3.9,2,0.3,2,3,2,0
4.44,4.9,6,0.9,6,7,5.5,0
4.44,4.7,0,0.4,4.5,4,4,0
4.43,4.6,10,0.3,5,6.5,2.5,0
4.43,2,6,0.8,4.5,8.5,3.5,0
4.43,1.4,4,0.4,6,4,4.5,0
4.42,4.7,9,0.6,5,5,5,0
4.42,3.6,9,0.4,4.5,7,3,0
4.42,1.8,9,0.9,2,6.5,2.5,0
4.4,1.4,2,0.1,7.5,7,4.5,0
4.4,1.2,10,0.5,7,7,5,0
4.38,3.3,2,0.1,5,5,4.5,0
4.36,2.3,7,0.2,5,6,6,0
4.34,4.1,0,0.7,6.5,7.5,4,0
4.33,3.3,11,0.6,7,7,5,0
4.33,3.1,10,0.6,8.5,6.5,4.5,0
4.31,4.2,9,0.8,6,7.5,5,0
4.28,4.4,0,1,3,6,6.5,0
